abbrev,github.com/rec/abbrev,4.8,0,-1,0,0,10,10,0,-1,10,10,10,10,0,0,-1,0
ansi,github.com/creachadair/ansi,5.8,-1,0,10,0,10,10,0,10,-1,10,10,10,0,-1,0,0
ansi-regex,github.com/chalk/ansi-regex,4.8,0,-1,4,0,10,0,10,-1,0,10,10,9,10,0,-1,0
ansi-styles,github.com/chalk/ansi-styles,4.8,0,-1,3,0,10,-1,0,10,0,10,10,10,9,-1,0,0
ansicolors,github.com/thlorenz/ansicolors,4.8,0,-1,0,0,10,10,-1,10,10,10,10,0,0,0,-1,0
ansistyles,github.com/thlorenz/ansistyles,5.2,0,-1,0,0,10,-1,10,-1,10,10,10,0,10,0,-1,0
archy,github.com/lunjs/archy,5.1,-1,0,3,0,10,-1,10,0,10,-1,10,10,10,0,0,0
are-we-there-yet,github.com/npm/are-we-there-yet,6.4,7,-1,5,0,10,10,10,10,10,10,-1,0,7,-1,0,0
array-index,github.com/TooTallNate/array-index,4.8,-1,0,0,0,10,10,10,10,0,-1,10,10,0,0,-1,0
asap,github.com/kriskowal/asap,5,-1,2,0,0,-1,10,0,10,0,10,10,10,-1,10,0,0
asciidoctor,github.com/asciidoctor/asciidoctor,5.1,2,10,-1,0,10,-1,0,10,-1,0,10,7,10,3,0,0
asciidoctor-diagram,github.com/asciidoctor/asciidoctor-diagram,4,-1,10,2,0,10,-1,0,10,0,-1,10,1,7,0,0,0
asn1,github.com/complycloud/asn1,5.6,-1,0,0,0,10,-1,10,10,0,10,10,10,0,0,-1,8
async,github.com/jaridmargolin/async,6.4,0,-1,10,0,10,10,10,10,10,-1,0,10,0,0,-1,0
async-some,github.com/othiym23/async-some,4.8,0,-1,0,0,10,-1,0,10,0,10,-1,10,10,10,0,0
atk,github.com/fizban-of-ragnarok/atk,5.3,-1,5,0,0,10,-1,0,10,-1,10,0,10,10,10,0,0
aws4,github.com/mhart/aws4,4.9,-1,1,0,0,10,-1,0,0,-1,10,10,10,10,10,0,0
balanced-match,github.com/juliangruber/balanced-match,5.1,0,-1,3,0,10,10,10,10,10,0,-1,10,-1,0,0,0
bash,github.com/alexcouper/bash,4.5,0,0,-1,0,10,-1,0,-1,0,10,10,10,10,0,0,0
binutils,github.com/amarin/binutils,5.8,10,0,-1,0,10,-1,0,-1,0,10,10,10,10,10,0,0
bl,github.com/rvagg/bl,5,0,-1,2,0,10,-1,10,10,0,10,10,10,0,0,-1,0
block-stream,github.com/isaacs/block-stream,4.8,-1,0,0,0,10,0,10,10,-1,10,10,10,-1,0,0,0
boom,github.com/hapijs/boom,5.8,-1,8,6,0,10,-1,0,10,0,0,-1,10,10,10,0,10
brace-expansion,github.com/juliangruber/brace-expansion,4.6,0,-1,5,0,10,-1,3,0,10,-1,10,0,10,9,0,0
builtin-modules,github.com/fibjs-modules/builtin-modules,5.2,-1,0,0,0,10,-1,0,-1,10,10,10,0,10,10,-1,0
builtins,github.com/juliangruber/builtins,4.7,4,-1,2,0,10,0,0,10,10,-1,10,9,-1,0,0,3
busybox,github.com/davidNHK/busybox,6.4,-1,10,9,0,10,10,-1,10,0,7,10,0,0,-1,3,0
ca-certificates,github.com/paketo-buildpacks/ca-certificates,7.8,-1,10,10,0,10,10,10,10,10,0,-1,7,-1,10,8,0
cairo,github.com/jferrettiboke/cairo,4.8,0,-1,0,0,-1,10,0,10,10,10,-1,0,10,10,0,0
caseless,github.com/mikeal/caseless,4.8,-1,0,0,0,10,-1,0,10,10,10,0,10,10,-1,0,0
chalk,github.com/rust-lang/chalk,5.9,10,-1,4,0,10,-1,0,10,0,0,10,7,10,10,0,10
