name, starcount, description, official
vimagick/dsvpn, 4, A Dead Simple VPN, 
jonasal/nginx-certbot, 19, Almost fully autonomous Nginx server using L…, 
wmarinho/pentaho-biserver, 45, , 
dduvnjak/dockerfile-from-image, 11, Fixed version of CenturyLinkLabs/dockerfile-…, 
wrouesnel/postgres_exporter, 30, Postgres metrics exporter for Prometheus., 
psharkey/novnc, 29, An Alpine X11 server and HTML5 VNC client to…, 
tier/grouper, 7, Docker Container for Grouper that can act as…, 
mtmiller/octave, 11, GNU Octave Docker image (semi-official), 
srsp/testdriver-chrome, 2, Chrome, chromedriver, xvfb and mvn in one co…, 
qnib/elk, 108, Dockerfile providing ELK services (Elasticse…, 
pamtrak06/postgis-pgrouting-osm, 3, postgis/pgrouting with latest osm tools : os…, 
voxxit/vault, 20, Tiny (~35MB) Alpine Linux image with vault (…, 
pmoust/s3s3mirror, 7, s3s3mirror - A utility to copy and mirror fr…, 
sysdig/node-image-analyzer, 2, In cluster component that allows scanning im…, 
ibmcom/biginsights-quick-start, 6, IBM BigInsights Quick Start Edition for non-…, 
seomoz/cdh5-pseudo-docker, 4, Pseudo-distributed HBase Docker image based …, 
ymedlop/npm-cache-resource, 2, a Concourse resource for caching dependencie…, 
xdevelsistemas/debian-env, 2, , 
bonita, 149, Bonita is an open-source business process ma…, [OK]
akeneo/node, 2, An image with NodeJS, Chrome and Puppeteer, 
doliana/logitech-media-server, 15, Logitech media Server for amd64, arm32v7,arm…, 
zendesk/samson, 14, Web interface for deployments., 
clburlison/smb-protected, 2, , 
dtagdevsec/rdpy, 5, rdpy, 
treehouses/nginx, 3, , 
xdevelsistemas/mesosphere-docker, 3, , 
bubbajames/sendy, 6, Sendy is an email newsletter application tha…, 
gliderlabs/hostlocal, 2, , 
mozilla/sbt, 12, Container for executing sbt (Scala build too…, 
shhetri/laravel-php-alpine, 2, PHP-FPM Image for running Laravel applicatio…, 
ankane/pghero, 16, A performance dashboard for Postgres, 
p7hb/docker-spark, 40, Docker image for Apache Spark., 
adriel/h265ize, 8, h265ize makes it easy to convert videos to h…, 
thyrlian/android-sdk, 63, Android SDK development environment Docker i…, 
epgg/eg, 2, Docker for WashU Epigenome Browser, 
xylphid/pure-ftpd, 2, Pure-FTPd is a free (BSD), secure, productio…, 
